CODE,"LONG DESCRIPTION (EXCLUDED FY2025 ICD-10 ALL TYPES E, L, D)"
D8130,"Adenosine deaminase deficiency, unspecified"
D8131,Severe combined immunodef due to adenosine deaminase defic
D8132,Adenosine deaminase 2 deficiency
D8139,Other adenosine deaminase deficiency
E34328,Other genetic causes of short stature
E34329,Unspecified genetic causes of short stature
E3439,Other short stature due to endocrine disorder
G71031,Autosomal dominant limb girdle muscular dystrophy
G71032,Autosomal recessive limb girdle muscular dystrophy due to calpain-3 dysfunction
G71033,Limb girdle muscular dystrophy due to dysferlin dysfunction
G710340,"Limb girdle muscular dystrophy due to sarcoglycan dysfunction, unspecified"
G710341,Limb girdle muscular dystrophy due to alpha sarcoglycan dysfunction
G710342,Limb girdle muscular dystrophy due to beta sarcoglycan dysfunction
G710349,Limb girdle muscular dystrophy due to other sarcoglycan dysfunction
G71035,Limb girdle muscular dystrophy due to anoctamin-5 dysfunction
G71038,Other limb girdle muscular dystrophy
G71039,"Limb girdle muscular dystrophy, unspecified"
H814,Vertigo of central origin
H8141,"Vertigo of central origin, right ear"
H8142,"Vertigo of central origin, left ear"
H8143,"Vertigo of central origin, bilateral"
H8149,"Vertigo of central origin, unspecified ear"
Q660,Congenital talipes equinovarus
Q6600,"Congenital talipes equinovarus, unspecified foot"
Q6601,"Congenital talipes equinovarus, right foot"
Q6602,"Congenital talipes equinovarus, left foot"
Q661,Congenital talipes calcaneovarus
Q6610,"Congenital talipes calcaneovarus, unspecified foot"
Q6611,"Congenital talipes calcaneovarus, right foot"
Q6612,"Congenital talipes calcaneovarus, left foot"
Q662,Congenital metatarsus (primus) varus
Q6621,Congenital metatarsus primus varus
Q66211,"Congenital metatarsus primus varus, right foot"
Q66212,"Congenital metatarsus primus varus, left foot"
Q66219,"Congenital metatarsus primus varus, unspecified foot"
Q6622,Congenital metatarsus adductus
Q66221,"Congenital metatarsus adductus, right foot"
Q66222,"Congenital metatarsus adductus, left foot"
Q66229,"Congenital metatarsus adductus, unspecified foot"
Q663,Other congenital varus deformities of feet
Q6630,"Other congenital varus deformities of feet, unspecified foot"
Q6631,"Other congenital varus deformities of feet, right foot"
Q6632,"Other congenital varus deformities of feet, left foot"
Q664,Congenital talipes calcaneovalgus
Q6640,"Congenital talipes calcaneovalgus, unspecified foot"
Q6641,"Congenital talipes calcaneovalgus, right foot"
Q6642,"Congenital talipes calcaneovalgus, left foot"
Q6650,"Congenital pes planus, unspecified foot"
Q6651,"Congenital pes planus, right foot"
Q6652,"Congenital pes planus, left foot"
Q666,Other congenital valgus deformities of feet
Q667,Congenital pes cavus
Q6670,"Congenital pes cavus, unspecified foot"
Q6671,"Congenital pes cavus, right foot"
Q6672,"Congenital pes cavus, left foot"
Q6680,"Congenital vertical talus deformity, unspecified foot"
Q6681,"Congenital vertical talus deformity, right foot"
Q6682,"Congenital vertical talus deformity, left foot"
Q6689,Other specified congenital deformities of feet
Q669,"Congenital deformity of feet, unspecified"
Q6690,"Congenital deformity of feet, unspecified, unspecified foot"
Q6691,"Congenital deformity of feet, unspecified, right foot"
Q6692,"Congenital deformity of feet, unspecified, left foot"
Q796,Ehlers-Danlos syndrome
Q7960,"Ehlers-Danlos syndrome, unspecified"
Q7961,Classical Ehlers-Danlos syndrome
Q7962,Hypermobile Ehlers-Danlos syndrome
Q7963,Vascular Ehlers-Danlos syndrome
Q7969,Other Ehlers-Danlos syndromes
Q871,Congenital malform syndromes predom assoc w short stature
Q8711,Prader-Willi syndrome
Q8719,Other congen malform synd predom assoc with short stature
R419,Unsp symptoms and signs w cognitive functions and awareness
R448,Oth symptoms and signs w general sensations and perceptions
R449,Unsp symptoms and signs w general sensations and perceptions
R4584,Anhedonia
R460,Very low level of personal hygiene
R461,Bizarre personal appearance
R462,Strange and inexplicable behavior
R463,Overactivity
R464,Slowness and poor responsiveness
R465,Suspiciousness and marked evasiveness
R466,Undue concern and preoccupation with stressful events
R467,Verbosity and circumstantial detail obscuring rsn for cntct
R4681,Obsessive-compulsive behavior
R4689,Other symptoms and signs involving appearance and behavior
R6819,Other nonspecific symptoms peculiar to infancy
R6889,Other general symptoms and signs
R69,"Illness, unspecified "
R828,Abnormal findings on cytolog and histolog exam of urine
R8281,Pyuria
R8289,Other abn findings on cytolog and histolog exam of urine
R99,Ill-defined and unknown cause of mortality 
T07,Unspecified multiple injuries
T07XXXA,"Unspecified multiple injuries, initial encounter"
T07XXXD,"Unspecified multiple injuries, subsequent encounter"
T07XXXS,"Unspecified multiple injuries, sequela"
T148,Other injury of unspecified body region
T148XXA,"Other injury of unspecified body region, initial encounter"
T148XXD,"Other injury of unspecified body region, subsequent encounter"
T148XXS,"Other injury of unspecified body region, sequela"
T1490,"Injury, unspecified"
T1490XA,"Injury, unspecified, initial encounter"
T1490XD,"Injury, unspecified, subsequent encounter"
T1490XS,"Injury, unspecified, sequela"
T1491,Suicide attempt
T1491XA,"Suicide attempt, initial encounter"
T1491XD,"Suicide attempt, subsequent encounter"
T1491XS,"Suicide attempt, sequela"
T670XXA,"Heatstroke and sunstroke, initial encounter"
T670XXD,"Heatstroke and sunstroke, subsequent encounter"
T670XXS,"Heatstroke and sunstroke, sequela"
T6701XA,"Heatstroke and sunstroke, initial encounter"
T6701XD,"Heatstroke and sunstroke, subsequent encounter"
T6701XS,"Heatstroke and sunstroke, sequela"
T6702XA,"Exertion heatstroke, initial encounter"
T6702XD,"Exertion heatstroke, subsequent encounter"
T6702XS,"Exertion heatstrokee, sequela"
T6709XA,"Other Heatstroke and sunstroke, initial encounter"
T6709XD,"Other Heatstroke and sunstroke, subsequent encounter"
T6709XS,"Other Heatstroke and sunstroke, sequela"
T887XXA,"Unspecified adverse effect of drug or medicament, initial encounter"
T887XXD,"Unspecified adverse effect of drug or medicament, subsequent encounter"
T887XXS,"Unspecified adverse effect of drug or medicament, sequela"
T888XXA,"Other specified complications of surgical and medical care, not elsewhere classified, initial encounter"
T888XXD,"Other specified complications of surgical and medical care, not elsewhere classified, subsequent encounter"
T888XXS,"Other specified complications of surgical and medical care, not elsewhere classified, sequela"
T889XXA,"Complication of surgical and medical care, unspecified, initial encounter"
T889XXD,"Complication of surgical and medical care, unspecified, subsequent encounter"
T889XXS,"Complication of surgical and medical care, unspecified, sequela"
Y35899A,"Legal intervention involving other specified means, unspecified person injured, initial encounter"
Y35899D,"Legal intervention involving other specified means, unspecified person injured, subsequent encounter"
Y35899S,"Legal intervention involving other specified means, unspecified person injured, sequela"
Y92000  ,Kitchen of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92001  ,Dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92002  ,Bathroom of unspecified non-institutional (private) residence single-family (private) house as the place of occurrence of the external cause
Y92003  ,Bedroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92007  ,Garden or yard of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92008  ,Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92009  ,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92010  ,Kitchen of single-family (private) house as the place of occurrence of the external cause
Y92011  ,Dining room of single-family (private) house as the place of occurrence of the external cause
Y92012,Bathroom of single-family (private) house as place
Y92013,Bedroom of single-family (private) house as place
Y92014,Private driveway to single-family (private) house as place
Y92015,Private garage of single-family (private) house as place
Y92016,Swm-pool in sngl-fmly (private) house or garden as place
Y92017,Garden or yard in single-family (private) house as place
Y92018,Oth place in single-family (private) house as place
Y92019,Unsp place in single-family (private) house as place
Y92020,Kitchen in mobile home as place
Y92021,Dining room in mobile home as place
Y92022,Bathroom in mobile home as place
Y92023,Bedroom in mobile home as place
Y92024,Driveway of mobile home as place
Y92025,Garage of mobile home as place
Y92026,Swimming-pool of mobile home as place
Y92027,Garden or yard of mobile home as place
Y92028,Oth place in mobile home as place
Y92029,Unsp place in mobile home as place
Y92030,Kitchen in apartment as place
Y92031,Bathroom in apartment as place
Y92032,Bedroom in apartment as place
Y92038,Oth place in apartment as place
Y92039,Unsp place in apartment as place
Y92040,Kitchen in boarding-house as place
Y92041,Bathroom in boarding-house as place
Y92042,Bedroom in boarding-house as place
Y92043,Driveway of boarding-house as place
Y92044,Garage of boarding-house as place
Y92045,Swimming-pool of boarding-house as place
Y92046,Garden or yard of boarding-house as place
Y92048,Oth place in boarding-house as place
Y92049,Unsp place in boarding-house as place
Y92090,Kitchen in oth non-institutional residence as place
Y92091,Bathroom in oth non-institutional residence as place
Y92092,Bedroom in oth non-institutional residence as place
Y92093,Driveway of non-institutional residence as place
Y92094,Garage of non-institutional residence as place
Y92095,Swimming-pool of non-institutional residence as place
Y92096,Garden or yard of non-institutional residence as place
Y92098,Oth place in oth non-institutional residence as place
Y92099,Unsp place in oth non-institutional residence as place
Y9210,Unsp residential institution as place
Y92110,Kitchen in children's home and orphanage as place
Y92111,Bathroom in children's home and orphanage as place
Y92112,Bedroom in children's home and orphanage as place
Y92113,Driveway of children's home and orphanage as place
Y92114,Garage of children's home and orphanage as place
Y92115,Swimming-pool of children's home and orphanage as place
Y92116,Garden or yard of children's home and orphanage as place
Y92118,Oth place in children's home and orphanage as place
Y92119,Unsp place in children's home and orphanage as place
Y92120,Kitchen in nursing home as place
Y92121,Bathroom in nursing home as place
Y92122,Bedroom in nursing home as place
Y92123,Driveway of nursing home as place
Y92124,Garage of nursing home as place
Y92125,Swimming-pool of nursing home as place
Y92126,Garden or yard of nursing home as place
Y92128,Oth place in nursing home as place
Y92129,Unsp place in nursing home as place
Y92130,Kitchen on military base as place
Y92131,Mess hall on military base as place
Y92133,Barracks on military base as place
Y92135,Garage on military base as place
Y92136,Swimming-pool on military base as place
Y92137,Garden or yard on military base as place
Y92138,Oth place on military base as place
Y92139,Unsp place military base as place
Y92140,Kitchen in prison as place
Y92141,Dining room in prison as place
Y92142,Bathroom in prison as place
Y92143,Cell of prison as place
Y92146,Swimming-pool of prison as place
Y92147,Courtyard of prison as place
Y92148,Oth place in prison as place
Y92149,Unsp place in prison as place
Y92150,Kitchen in reform school as place
Y92151,Dining room in reform school as place
Y92152,Bathroom in reform school as place
Y92153,Bedroom in reform school as place
Y92154,Driveway of reform school as place
Y92155,Garage of reform school as place
Y92156,Swimming-pool of reform school as place
Y92157,Garden or yard of reform school as place
Y92158,Oth place in reform school as place
Y92159,Unsp place in reform school as place
Y92160,Kitchen in school dormitory as place
Y92161,Dining room in school dormitory as place
Y92162,Bathroom in school dormitory as place
Y92163,Bedroom in school dormitory as place
Y92168,Oth place in school dormitory as place
Y92169,Unsp place in school dormitory as place
Y92190,Kitchen in oth residential institution as place
Y92191,Dining room in oth residential institution as place
Y92192,Bathroom in oth residential institution as place
Y92193,Bedroom in oth residential institution as place
Y92194,Driveway of residential institution as place
Y92195,Garage of residential institution as place
Y92196,Pool of residential institution as place
Y92197,Garden or yard of residential institution as place
Y92198,Oth place in oth residential institution as place
Y92199,Unsp place in oth residential institution as place
Y92210,Daycare center as place
Y92211,Elementary school as place
Y92212,Middle school as place
Y92213,High school as the place of occurrence of the external cause
Y92214,College as the place of occurrence of the external cause
Y92215,Trade school as place
Y92218,Oth school as the place of occurrence of the external cause
Y92219,Unsp school as the place of occurrence of the external cause
Y9222,Religious institution as place
Y92230,Patient room in hospital as place
Y92231,Patient bathroom in hospital as place
Y92232,Corridor of hospital as place
Y92233,Cafeteria of hospital as place
Y92234,Operating room of hospital as place
Y92238,Oth place in hospital as place
Y92239,Unsp place in hospital as place
Y92240,Courthouse as the place of occurrence of the external cause
Y92241,Library as the place of occurrence of the external cause
Y92242,Post office as the place of occurrence of the external cause
Y92243,City hall as the place of occurrence of the external cause
Y92248,Oth public administrative building as place
Y92250,Art Gallery as the place of occurrence of the external cause
Y92251,Museum as the place of occurrence of the external cause
Y92252,Music hall as the place of occurrence of the external cause
Y92253,Opera house as the place of occurrence of the external cause
Y92254,Theater (live) as place
Y92258,Oth cultural public building as place
Y9226,Movie house or cinema as place
Y9229,Oth public building as place
Y92310,Basketball court as place
Y92311,Squash court as place
Y92312,Tennis court as place
Y92318,Oth athletic court as place
Y92320,Baseball field as place
Y92321,Football field as place
Y92322,Soccer field as place
Y92328,Oth athletic field as place
Y92330,Ice skating rink (indoor) (outdoor) as place
Y92331,Roller skating rink as place
Y9234,Swimming pool (public) as place
Y9239,Oth sports and athletic area as place
Y92410,Unsp street and highway as place
Y92411,Interstate highway as place
Y92412,Parkway as the place of occurrence of the external cause
Y92413,State road as the place of occurrence of the external cause
Y92414,Local residential or business street as place
Y92415,Exit ramp or entrance ramp of street or highway as place
Y92480,Sidewalk as the place of occurrence of the external cause
Y92481,Parking lot as the place of occurrence of the external cause
Y92482,Bike path as the place of occurrence of the external cause
Y92488,Oth paved roadways as place
Y92510,Bank as the place of occurrence of the external cause
Y92511,Restaurant or cafe as place
Y92512,"Supermarket, store or market as place"
Y92513,Shop (commercial) as place
Y92520,Airport as the place of occurrence of the external cause
Y92521,Bus station as the place of occurrence of the external cause
Y92522,Railway station as place
Y92523,Highway rest stop as place
Y92524,Gas station as the place of occurrence of the external cause
Y92530,Ambulatory surgery center as place
Y92531,Health care provider office as place
Y92532,Urgent care center as place
Y92538,Oth ambulatory health services establishments as place
Y9259,Oth trade areas as place
Y9261,Building under construction as place
Y9262,Dock or shipyard as place
Y9263,Factory as the place of occurrence of the external cause
Y9264,Mine or pit as the place of occurrence of the external cause
Y9265,Oil rig as the place of occurrence of the external cause
Y9269,Oth industrial and construction area as place
Y9271,Barn as the place of occurrence of the external cause
Y9272,Chicken coop as place
Y9273,Farm field as the place of occurrence of the external cause
Y9274,Orchard as the place of occurrence of the external cause
Y9279,Oth farm location as place
Y92810,Car as the place of occurrence of the external cause
Y92811,Bus as the place of occurrence of the external cause
Y92812,Truck as the place of occurrence of the external cause
Y92813,Airplane as the place of occurrence of the external cause
Y92814,Boat as the place of occurrence of the external cause
Y92815,Train as the place of occurrence of the external cause
Y92816,Subway car as the place of occurrence of the external cause
Y92818,Oth transport vehicle as place
Y92820,Desert as the place of occurrence of the external cause
Y92821,Forest as the place of occurrence of the external cause
Y92828,Oth wilderness area as place
Y92830,Public park as the place of occurrence of the external cause
Y92831,Amusement park as place
Y92832,Beach as the place of occurrence of the external cause
Y92833,Campsite as the place of occurrence of the external cause
Y92834,Zoological garden (Zoo) as place
Y92838,Oth recreation area as place
Y9284,Military training ground as place
Y9285,Railroad track as place
Y9286,Slaughter house as place
Y9289,Oth places as the place of occurrence of the external cause
Y929,Unspecified place or not applicable
